#header line 1: THIN node
#header line 2: --map-by core
#header line 3: Ts = 15.3276 s
#header line 4: latency = 0.20 us
#header line 5: bandwidth = 5900 MB/s
#header: N, Nx, Ny, Nz, k, c[MB], P [MLUPs/sec] (computed), N P(1)/P(N) (computed), P[MLUPs/sec] (measured), N P(1)/P(N) (measured)
1,1,1,1,0,0,112.738,1.000,112.738,1.000
1,1,1,1,0,0,112.738,1.000,112.738,1.000
4,4,1,1,2,46.08,450.722,1.001,447.622,1.007
4,2,2,1,4,92.16,450.492,1.001,447.390,1.008
8,8,1,1,2,46.08,901.443,1.001,887.270,1.016
8,2,2,2,6,138.24,900.526,1.002,879.848,1.025
12,12,1,1,2,46.08,1352.165,1.001,1311.020,1.032
12,3,2,2,6,138.24,1350.789,1.002,1310.580,1.032
